Experience_Name,Rating,Reviews,City,Country,Duration,Languages,Cost,Group_Limit,Group_Start_Cost,Category
Celebration of Day of the Dead in Mexico,4.95,245.0,Mexico City,Mexico,90, English Spanish and French,20,100.0,98.0,Art&Writing
Virtual walk through Rome historical center,,,Roma,Italy,60, English,17,30.0,65.0,Art&Writing
"Irish Village, History, Culture & Craic",4.97,1932.0,Dublin,Ireland,60, English,19,500.0,175.0,Art&Writing
Drawn from Within with a New York Artist,4.98,759.0,New York,United States,60, English,22,500.0,129.0,Art&Writing
A Journey Through Venice and its Canals,4.97,229.0,Venice,Italy,60, English,11,30.0,115.0,Art&Writing
Indigenous Fashion with Expert Artisan,5.0,23.0,Havre,United States,60, English,13,15.0,100.0,Art&Writing
Malta Experience - Personal itinerary,5.0,6.0,Msida,Malta,60, English,12,30.0,12.0,Art&Writing
Create a Mexico City trip with Ricardo,4.97,31.0,Mexico City,Mexico,60, English and Spanish,4,100.0,4.0,Art&Writing
Diwali Special - Get Creative with Interactive Street Art,4.97,564.0,New Delhi,India,60, English and Hindi,21,500.0,61.0,Art&Writing
Drawing session,4.9,244.0,Oaxaca City,Mexico,45, Spanish and English,12,30.0,123.0,Art&Writing
Drabble Writing for Creatives,4.96,25.0,Fletcher,United States,60, English,9,10.0,200.0,Art&Writing
Making 1000 Origami Cranes Together,4.99,111.0,Nara,Japan,60, English,22,30.0,176.0,Art&Writing
Meet and Draw a llama,4.97,522.0,Sydney,Australia,60, English,29,30.0,223.0,Art&Writing
Discover the dark stories of Milan while walking its streets,,,Milan,Italy,60, English Spanish and Portuguese,23,30.0,92.0,Art&Writing
"Drink and Draw, blind contour fun",5.0,62.0,Gulfport,United States,60, English,24,30.0,95.0,Art&Writing
"Hallyu Campus Tour, Korean Universities",,,Seoul,South Korea,60, English,7,30.0,13.0,Art&Writing
Discover Buenos Aires' Street Art & Sketch With a Specialist,4.97,739.0,Buenos Aires,Argentina,60, English and Spanish,15,500.0,150.0,Art&Writing
Guided Doodle Session,,,Johannesburg,South Africa,75, English,12,20.0,62.0,Art&Writing
Discover Interior Design Secrets,4.99,158.0,Florence,Italy,60, English and Italian,24,50.0,154.0,Art&Writing
Lai Thai: Draw Ancient Thai Illustrations,4.86,29.0,Chiang Mai,Thailand,90, English,10,10.0,91.0,Art&Writing
Explore Beer and Chocolate Pairings,5.0,23.0,Toronto,Canada,60, English,13,30.0,17.0,Art&Writing
Diwali Special - The Wonder That Is India!,4.99,196.0,Bengaluru,India,60, English,13,100.0,127.0,Art&Writing
A Party in Paris with a Parisian,4.94,1547.0,Paris,France,60, English,19,100.0,186.0,Art&Writing
Hanoi History Recap,,,Hanoi,Vietnam,60, English,7,10.0,53.0,Art&Writing
"Uncover Pompeii with an Archaeologist, virtual holiday trip",4.98,1010.0,Pompei,Italy,60, 5 languages,18,500.0,175.0,Art&Writing
Sistine Chapel Behind The Scenes Tour,5.0,4.0,Rome,Italy,60, English and Italian,35,30.0,146.0,Art&Writing
How To Caricature,4.97,122.0,Novato,United States,120, English,16,100.0,100.0,Art&Writing
How to understand modern art,,,Milan,Italy,90, English,9,6.0,9.0,Art&Writing
Step by step virtual Art class,,,Kissimmee,United States,60, English,20,,,Art&Writing
Crime and Handwriting Analysis,4.98,40.0,Greater London,United Kingdom,60, English,27,100.0,110.0,Art&Writing
"True or false, So Funny Facts about Peru",5.0,5.0,Lima,Peru,60, English and Spanish,8,30.0,11.0,Art&Writing
Origami Fun with a Japanese festive Instructor,4.98,50.0,Kamagaya City,Japan,60, English and Japanese,16,100.0,141.0,Art&Writing
Creative Smartphone Photography at Home,4.98,427.0,Berlin,Germany,60, English,25,50.0,98.0,Art&Writing
Outlander's Inverness - Literary History,5.0,5.0,Inverness,United Kingdom,60, English,14,30.0,69.0,Art&Writing
Harry Potter and the City of Porto,5.0,18.0,Porto,Portugal,75, English Spanish and Portuguese,7,15.0,13.0,Art&Writing
Design an Idea in a Playful Way,4.95,38.0,Paris,France,90, English and French,23,8.0,233.0,Art&Writing
Zoom around panoramic Amsterdam,5.0,9.0,Amsterdam,Netherlands,60, English and German,14,30.0,49.0,Art&Writing
"Colourful Buenos Aires, Urban Art",,,Buenos Aires,Argentina,45, English and Spanish,12,30.0,100.0,Art&Writing
Watercolor painted natal chart & reading,5.0,200.0,Barcelona,Spain,60, English Spanish and Portuguese,76,8.0,76.0,Art&Writing
Walk live a medieval Castle in the city of Milan,,,Milan,Italy,45, English,23,30.0,92.0,Art&Writing
Get a Japanese Furoshiki cloth and make a pretty hand bag,,,Tokyo,Japan,60, English and Japanese,88,10.0,351.0,Art&Writing
Sydney Harbour Bridge Virtual Tour,,,Sydney,Australia,45, English and Portuguese,29,30.0,23.0,Art&Writing
Angkor Wat Virtual Tour,5.0,3.0,Krong Siem Reap,Cambodia,60, English and Spanish,15,30.0,60.0,Art&Writing
"Culture, Food and Lifestyle of Kenya",4.8,5.0,Nairobi,Kenya,75, English,15,30.0,100.0,Art&Writing
Hidden in Plain Sight,5.0,4.0,Singapore,Singapore,60, English,12,30.0,75.0,Art&Writing
Discover History through Escape Rooms,4.94,580.0,Florence,Italy,60, English and Italian,18,30.0,117.0,Art&Writing
Plan a trip to Amalfi & Naples area with a local expert,,,Amalfi,Italy,60, English,12,100.0,117.0,Art&Writing
Explore Beijing Must-see Sights,4.94,99.0,Beijing,China,60, English,5,30.0,280.0,Art&Writing
Munich virtual tour with Paul,,,Munich,Germany,60, English,47,10.0,59.0,Art&Writing
A Colorful Holiday in India's Golden Triangle -Stories& more,5.0,44.0,New Delhi,India,60, English,17,100.0,121.0,Art&Writing
Learn How to Analyze Handwriting,4.97,215.0,London,United Kingdom,60, English,33,100.0,165.0,Art&Writing
Van Gogh Find Yourself,4.91,411.0,New York,United States,60, English,20,30.0,50.0,Art&Writing
The Brooklyn Street Art & Graffiti Tour,5.0,6.0,New York,United States,45, English,12,10.0,99.0,Art&Writing
Valletta Virtual Tour,4.98,43.0,La Valeta,Malta,60, English and Spanish,5,30.0,59.0,Art&Writing
"Discover Naples-Origin, Cults, Legend",4.97,33.0,Napoli,Italy,60, English,18,100.0,105.0,Art&Writing
Let’s paint sea-life,5.0,2.0,Pula,Croatia,90, English,24,30.0,116.0,Art&Writing
Discover Lisbon's Stunning Street Art,4.99,338.0,Lisboa,Portugal,60, English and Portuguese,11,100.0,125.0,Art&Writing
Learn the Art and Business of Candles,,,Hatfield,St. Elizabeth,75, English,40,6.0,500.0,Art&Writing
Explore Street Art in Romania,,,București,Romania,90, English,18,10.0,59.0,Art&Writing
"Stream Live From home to Asakusa, Tokyo",,,Tokyo,Japan,60, English,22,11.0,176.0,Art&Writing
Creative Connection Heart Based Art and Readings,5.0,1.0,Palmerston North,New Zealand,45, English,57,3.0,142.0,Art&Writing
Natural Dye and Shibori Experience,5.0,37.0,South Kuta,Indonesia,90, English and Japanese,18,30.0,143.0,Art&Writing
Learn to Draw with Japan's Manga University,4.96,94.0,Tokyo,Japan,90, English and Japanese,19,100.0,176.0,Art&Writing
Have fun by painting in mono type,,,Napoli,Italy,90, English and Italian,18,30.0,117.0,Art&Writing
Explore Ghibli spots in Japan,4.99,137.0,Tokyo,Japan,75, English and French,14,30.0,132.0,Art&Writing
Sip and Dream,,,Tannersville,United States,120, English,20,20.0,200.0,Art&Writing
Zoom Around Panoramic Barcelona,4.92,180.0,Barcelona,Spain,75, English German and Dutch,16,30.0,49.0,Art&Writing
Light painting at home,,,Praha,Czech Republic,120, English,23,4.0,74.0,Art&Writing
Reveal Awesome Street Art In Athens with a local expert,4.98,664.0,Athens,Greece,60, English,9,100.0,47.0,Art&Writing
Batik Painting with Malaysia Artisan,5.0,1.0,Kuala Lumpur,Malaysia,60, English Indonesian and Malay,10,,,Art&Writing
Valley of The Kings Virtual Tour,4.88,64.0,Luxor,Egypt,90, English,15,30.0,90.0,Art&Writing
Hand-painted sandals from Spain,5.0,4.0,Barcelona,Spain,60, English and Spanish,140,100.0,581.0,Art&Writing
Pop up art,,,Athens,Greece,75, English,18,6.0,16.0,Art&Writing
Origami and the Essence of Japan,4.98,281.0,Koto City,Japan,60, Japanese and English,11,30.0,9.0,Art&Writing
Explore the Harmony Georgetown,4.88,26.0,George Town,Malaysia,90, English,7,10.0,37.0,Art&Writing
Design a Woolly Hat in New Zealand,5.0,6.0,Atiamuri,New Zealand,60, English,50,40.0,4.0,Art&Writing
Planning a Trip to Kenya with a Local,5.0,4.0,Nairobi,Kenya,30, English,5,8.0,80.0,Art&Writing
Hands-on Collage Art Holidays Edition,5.0,205.0,Barcelona,Spain,90, English and Spanish,26,100.0,93.0,Art&Writing
Virtual walk through Ancient Rome ruins,5.0,94.0,Rome,Italy,60, English and Italian,17,30.0,65.0,Art&Writing
Get Inside Tokyo Anime & Subcultures,4.96,167.0,Tokyo,Japan,60, English and Japanese,27,30.0,395.0,Art&Writing
A Live Walk Around Hanoi Old & French Quarter With A Local,4.78,18.0,Hanoi,Vietnam,60, English and Vietnamese,12,10.0,31.0,Art&Writing
Introduction to Roman Mosaic-making,,,Rome,Italy,45, English,14,10.0,53.0,Art&Writing
Meet a mermaid & learn about Mermaiding,,,Barcelona,Spain,30, English and Spanish,26,4.0,88.0,Art&Writing
"Jewish Ghetto of Venice, the history",4.98,47.0,Venice,Italy,90, English and Italian,14,8.0,59.0,Art&Writing
Planning a Trip to Egypt with a Local,5.0,1.0,Luxor City,Egypt,45, English,25,30.0,5.0,Art&Writing
Amazing World of Japanese Fake Food,5.0,4.0,Osaka City,Japan,60, English,9,100.0,71.0,Art&Writing
Wonderful Amazing Argentina with a local,5.0,3.0,Barcelona,Spain,75, English and Spanish,12,30.0,59.0,Art&Writing
Sketch while travel Kuala Lumpur,5.0,1.0,Kuala Lumpur,Malaysia,120, English Malay and Chinese Simplified,13,10.0,121.0,Art&Writing
Painting for Fun Acrylics Made Easy,5.0,6.0,Hallandale Beach,United States,90, English,24,10.0,300.0,Art&Writing
Trans-Siberian Railway amazing adventure,5.0,5.0,Buenos Aires,Argentina,75, English and Spanish,14,30.0,50.0,Art&Writing
Mindfulness Tea Ceremony,5.0,135.0,Nishinomiya City,Japan,75, English,18,30.0,97.0,Art&Writing
Create a Portrait of a Pet with Collage,4.96,111.0,Barcelona,Spain,90, English and Spanish,19,30.0,175.0,Art&Writing
にほんご Japanese characters made easy,5.0,27.0,Kyoto,Japan,60, English,14,30.0,44.0,Art&Writing
"Venice, play with Art and be a Doge",5.0,9.0,Venice,Italy,60, English and Italian,7,20.0,59.0,Art&Writing
Autumn Kyoto Hidden Zen Garden,4.98,82.0,Kyoto,Japan,90, English,19,100.0,92.0,Art&Writing
The Zen Art of Rock Balancing,4.98,50.0,San Francisco,United Kingdom,60, English,35,500.0,349.0,Art&Writing
My success with prosthetic adaptations,5.0,36.0,,United Kingdom,75, English,35,500.0,123.0,Art&Writing
Nairobi Kenya Virtual Tour With A Paparazzi,,,Nairobi,Kenya,60, English,13,16.0,100.0,Art&Writing
Fluid Art Class & Happy Hour Optional,5.0,23.0,Los Angeles,United States,60, English,24,30.0,25.0,Art&Writing
Create and interpret your healing Mandalas,4.92,78.0,Cusco,Peru,90, Spanish and English,21,20.0,127.0,Art&Writing
How to Paint with Red Wine,4.95,218.0,Barcelona,Spain,60, English Spanish Romanian and Russian,14,30.0,59.0,Art&Writing
Discover Indonesia with Batik Art,4.89,9.0,Singapore,Singapore,90, English Indonesian and Chinese Simplified,9,8.0,45.0,Art&Writing
It's Time to Write Your Book,4.98,160.0,Sydney,Australia,60, English,34,3.0,34.0,Art&Writing
"Japan's hidden beautiful places top 10. For peace of mind, or preparation for the trip.",5.0,23.0,Tokyo,Japan,60, English,14,100.0,44.0,Art&Writing
Venice must-sees with an art historian,5.0,6.0,Venice,Italy,60, English,18,8.0,93.0,Art&Writing
Explore Street Art in Bucharest,5.0,4.0,Bucharest,Romania,90, English,19,10.0,59.0,Art&Writing
Learn to Paint with Wax,,,Orange Bay,Jamaica,120, English,120,6.0,500.0,Art&Writing
Beginning Art Class - specific style,5.0,1.0,Hamilton,Canada,60, English,61,5.0,324.0,Art&Writing
Relax by painting nature in watercolors,5.0,6.0,Napoli,Italy,90, English and Italian,16,30.0,93.0,Art&Writing
Wonderful Amazing Barcelona with a local,4.85,20.0,Barcelona,Spain,75, English,12,30.0,59.0,Art&Writing
Drinks and Drawing with a Drag Queen,5.0,6.0,Sydney,Australia,90, English,26,20.0,371.0,Art&Writing
Ultra-Immersive Vr Guided Tour of Kyoto,5.0,1.0,Kyoto,Japan,75, English Japanese and Chinese Simplified,27,10.0,219.0,Art&Writing
Contemporary art class,,,Paia,United States,120, English,88,10.0,500.0,Art&Writing
Discover Milan / Virtual Visit & Trivia,5.0,5.0,Milano,Italy,75, English,12,100.0,64.0,Art&Writing
A Walk Among 1200 Sacred Statues in Kyoto,4.97,330.0,Kyoto,Japan,90, English,19,100.0,92.0,Art&Writing
Draw Yourself with a Berlin-based Artist,4.97,31.0,Berlin,Germany,90, English,19,30.0,88.0,Art&Writing
Make a Traditional Mexican Piñata,5.0,29.0,Mexico City,Mexico,25, Spanish and English,31,10.0,308.0,Art&Writing
Having a great time in Cusco,5.0,7.0,Cusco,Peru,60, English,11,15.0,77.0,Art&Writing
Fun exciting Art and Drum Meditation,4.83,6.0,Nairobi,Kenya,60, English,16,10.0,25.0,Art&Writing
Medellin: From violence to innovation,4.96,196.0,Medellin,Colombia,90, Spanish and English,19,30.0,133.0,Art&Writing
Live Interactive Tour Riverside Secrets,,,Lisboa,Portugal,180, English Spanish and Portuguese,18,30.0,175.0,Art&Writing
Fun Hour with Taj Mahal - Symbol of Love - Musical Quiz Tour,4.96,110.0,Delhi,India,60, English,10,30.0,134.0,Art&Writing
Singapore City Live Virtual Walking Tour,5.0,11.0,Singapore,Singapore,60, English,26,30.0,38.0,Art&Writing
Heartland Living in Crazy Rich Singapore,5.0,1.0,Singapore,Singapore,60, English,12,8.0,38.0,Art&Writing
Traditional Indian Rug Weaving Workshop,4.95,19.0,Jodhpur,India,75, English,3,30.0,27.0,Art&Writing
Paint Like Bob Ross,5.0,6.0,Ottawa,Canada,120, English,37,30.0,122.0,Art&Writing
The Barcelona Espadrilles Workshop,4.99,371.0,Barcelona,Spain,60, English,111,500.0,581.0,Art&Writing
Hearst & Hollywood at Hearst Castle,5.0,15.0,San Simeon,United States,75, English,16,30.0,200.0,Art&Writing
"Tokyo Online Tour All in One! For happy hour event, or preparation for the trip!",4.94,635.0,Taito city,Japan,60, English,16,100.0,44.0,Art&Writing
Personal or Couples Handwriting Analysis,5.0,6.0,Greater London,United Kingdom,60, English,81,,,Art&Writing
Explore Creative and Wild Writing / Halloween Edition,4.88,8.0,Cali,Colombia,75, English and Spanish,12,20.0,80.0,Art&Writing
Create Mexican Stories with Art,4.97,225.0,Mexico City,Mexico,60, English and Spanish,12,30.0,42.0,Art&Writing
Try Drawing Manga Illustration w/pro,5.0,36.0,Osaka City,Japan,60, English and Japanese,19,20.0,37.0,Art&Writing
Istanbul Street Grafiti Art Virtual Walk,4.88,24.0,Istanbul,Turkey,60, English,8,30.0,134.0,Art&Writing
Paint cats and dogs with a lot of good humor,5.0,2.0,Napoli,Italy,90, Italian and English,18,30.0,82.0,Art&Writing
Mexican traditional celebrations of end-of-year,4.94,54.0,Carmen Beach,Mexico,60, English and Spanish,13,100.0,74.0,Art&Writing
Photography Composition w/ Lisbon images,4.91,11.0,Lisbon,Portugal,90, English,24,10.0,209.0,Art&Writing
Travel Journal with Watercolor,4.85,52.0,Fresno,United States,120, English,23,30.0,18.0,Art&Writing
Discover Chechnya and its unique culture,4.93,29.0,Chechnya,Russian,60, English,15,10.0,85.0,Art&Writing
Discover Sicily and its street food,4.94,68.0,Celafu,Italy,90, English Spanish French and Italian,14,100.0,70.0,Art&Writing
An In-depth virtual tour of Shanghai,5.0,2.0,Shanghai,China,60, English,16,30.0,280.0,Art&Writing
Design your trip to Barcelona with Gemma,5.0,1.0,Barcelona,Spain,30, English,24,1.0,24.0,Art&Writing
Parliament Palace & whims of a dictator,5.0,5.0,Bucharest,Romania,120, English,13,20.0,13.0,Art&Writing
The Night Tour & Homa Experience in Okadera Temple in Japan,5.0,1.0,Asuka Village,Japan,60, English,18,30.0,176.0,Art&Writing
Experience Vienna at home,4.75,4.0,Vienna,Austria,60, German and English,12,30.0,105.0,Art&Writing
Walk live Milan streets and discover it's amazing Cathedral,5.0,2.0,Milan,Italy,45, English Spanish and Portuguese,23,30.0,92.0,Art&Writing
Explore Amazing Chiang Mai Temples,5.0,1.0,Chiang Mai,Thailand,120, English,27,,,Art&Writing
Intro to Writing and Publishing Books,5.0,144.0,Zirconia,United States,60, English,15,10.0,100.0,Art&Writing
Drink and Draw,4.96,674.0,Lisbon,Portugal,90, English,19,50.0,99.0,Art&Writing
The Wonder That Is The Taj Mahal & The Moguls,4.97,235.0,Bengaluru,India,60, English,13,100.0,127.0,Art&Writing
"Caravaggio in Rome, A Virtual Tour",4.98,110.0,Rome,Italy,60, English and Italian,19,100.0,105.0,Art&Writing
Take professional photos even with your cell phone,4.84,25.0,Rio de Janeiro,Brazil,90, Portuguese English and Spanish,23,30.0,110.0,Art&Writing
Calligraphic Textures,5.0,12.0,Cluj-Napoca,Romania,90, English,19,7.0,71.0,Art&Writing
Mastering Novel Writing with a Bestselling Author,4.98,92.0,Hartford,United States,60, English,32,,,Art&Writing
Virtual coin toss in the Trevi fountain,5.0,4.0,Rome,Italy,60, English,13,30.0,65.0,Art&Writing
The Women of Graffiti,4.96,71.0,Rio de Janeiro,Brazil,90, Portuguese and English,10,30.0,101.0,Art&Writing
Complete Guide to Geisha Culture,4.97,33.0,Nishinomiya City,Japan,60, English and Japanese,16,30.0,97.0,Art&Writing
Ikebana〜Learn the beauty of simplicity & heal yourself,5.0,20.0,Kyoto,Japan,60, English and Japanese,15,30.0,71.0,Art&Writing
Plan a Venice venture with Giulia,5.0,9.0,Venice,Italy,30, English,24,8.0,59.0,Art&Writing
Design Tips for Small Spaces,5.0,12.0,New York,United States,60, English,35,4.0,120.0,Art&Writing
Moroccan Henna Art Discovery,5.0,7.0,Marrakesh,Morocco,60, English,17,6.0,111.0,Art&Writing
Virtual Interior Design Consultation,,,New York,United States,60, English and Spanish,65,1.0,150.0,Art&Writing
"Homemade Authentic Mexican Crafts, Alebrijes",4.93,81.0,Mexico City,Mexico,90, Spanish and English,13,100.0,98.0,Art&Writing
Drawing by Japanese popular caricature artist,5.0,5.0,Tokyo,Japan,30, English,27,10.0,85.0,Art&Writing
Quito Virtual Guide & Traditions,4.96,91.0,Quito,Ecuador,90, English and Spanish,10,30.0,200.0,Art&Writing
Urban Art of Rome - Ostiense District,5.0,13.0,Rome,Italy,60, English and Italian,18,30.0,117.0,Art&Writing
Give the T-shirt a second chance,5.0,5.0,Florence,Italy,75, English German and Italian,47,10.0,93.0,Art&Writing
Impressionism 'a rebellious art',5.0,3.0,Paris,France,60, English,13,6.0,79.0,Art&Writing
Making Comics and Stories with an Artist,4.83,6.0,Brussels,Belgium,60, English French and Russian,16,30.0,82.0,Art&Writing
Photo Private Workshop,5.0,3.0,Essen,Germany,60, German Czech and English,41,3.0,41.0,Art&Writing
"Try Sumi-e, Japanese Ink Painting",4.95,21.0,Saitama City,Japan,60, English and Japanese,18,30.0,27.0,Art&Writing
"Hidden Treasure in Korea, Inje",5.0,12.0,Gangwon Province,South Korea,75, English,13,10.0,127.0,Art&Writing
Intuitive Writing Workshop - Hollywood,4.95,143.0,Los Angeles,United States,60, English,29,100.0,65.0,Art&Writing
Live Virtual walk around the Colosseum,5.0,25.0,Rome,Italy,60, English,17,30.0,65.0,Art&Writing
One-on-One Writing Coaching with a Published Author,5.0,37.0,Zirconia,United States,60, English,25,,,Art&Writing
,5.0,4.0,Tokyo,Japan,90, Japanese,44,2.0,44.0,Art&Writing
Embroidered a Mexican skull,5.0,2.0,Mexico City,Mexico,25, Spanish and English,6,8.0,40.0,Art&Writing
Gaudis masterpieces & mosaic technique,4.86,44.0,Barcelona ,Spain,60, English German and Spanish,18,30.0,59.0,Art&Writing
Relax & Unwind With Meditative Art,5.0,16.0,Elizabeth,United States,60, English,15,30.0,63.0,Art&Writing
Paint Picasso,4.96,27.0,Barcelona,Spain,90, English Spanish and Italian,35,30.0,175.0,Art&Writing
How to Become Polish in One Hour,4.97,114.0,Krakow,Poland,60, English and Spanish,13,30.0,102.0,Art&Writing
Photographing food and still life in your home,5.0,11.0,Ferrara,Italy,45, Italian and English,12,10.0,59.0,Art&Writing
Lakota Star Quilts with Master Quilter,4.97,36.0,Eagle Butte,United States,60, English,14,10.0,12.0,Art&Writing
Explore Chinese Tea Culture,,,Shantou City,China,90, Chinese Simplified,31,10.0,94.0,Art&Writing
Virtual tour of Cordoba & Tile Printing,5.0,1.0,Cordoba,Spain,120, English,19,,,Art&Writing
Jewelry exhibition and design workshop,5.0,4.0,Leighton Buzzard,United Kingdom,60, English,21,30.0,103.0,Art&Writing
Eco-friendly Bojagi wrapping,4.8,5.0,San Leandro,United States,60, English and Korean,15,10.0,60.0,Art&Writing
Live the passion of tango and its poetry,5.0,1.0,Buenos Aires,Argentina,60, Spanish and English,12,30.0,20.0,Art&Writing
Let 's paint the Florence Dome,4.97,34.0,Florence,Italy,90, English,18,20.0,59.0,Art&Writing
Origami for Any Age and Level,5.0,17.0,Lisboa,Portugal,60, French and English,18,30.0,88.0,Art&Writing
Draw Sketch and a Postcard Together,4.81,16.0,Kiev,Ukraine,90, English and Russian,18,6.0,46.0,Art&Writing
Create a dammit/stress doll,5.0,6.0,Amsterdam,Netherlands,90, English,30,30.0,88.0,Art&Writing
Daily meditation art practice,4.89,9.0,Cape Town,South Africa,120, English,48,6.0,41.0,Art&Writing
"Drawing from Dreams, Sedona Style",5.0,28.0,Sedona,United States,90, English,20,4.0,60.0,Art&Writing
Chai Tea Masterclass-(VEGAN Friendly),5.0,64.0,Jaipur,India,30, English,11,100.0,134.0,Baking
